id,prep_lot_id
DISH_PNR_001,PL_PNR_001
DISH_PNR_002,PL_PNR_002
DISH_PNR_003,PL_PNR_003
DISH_PNR_004,PL_PNR_004
DISH_PNR_005,PL_PNR_005
DISH_PNR_006,PL_PNR_006
DISH_PNR_007,PL_PNR_007
DISH_PNR_008,PL_PNR_008
DISH_PNR_009,PL_PNR_009
DISH_PNR_010,PL_PNR_010
DISH_PNR_011,PL_PNR_011
DISH_PNR_012,PL_PNR_012
DISH_PNR_013,PL_PNR_013
DISH_PNR_014,PL_PNR_014
DISH_PNR_015,PL_PNR_015
DISH_PNR_016,PL_PNR_016
DISH_PNR_017,PL_PNR_017
DISH_PNR_018,PL_PNR_018
DISH_PNR_019,PL_PNR_019
DISH_PNR_020,PL_PNR_020
DISH_PNR_021,PL_PNR_021
DISH_PNR_022,PL_PNR_022
DISH_PNR_023,PL_PNR_023
DISH_PNR_024,PL_PNR_024
DISH_PNR_025,PL_PNR_025
DISH_PNR_026,PL_PNR_026
DISH_PNR_027,PL_PNR_027
DISH_PNR_028,PL_PNR_028
DISH_PNR_029,PL_PNR_029
DISH_PNR_030,PL_PNR_030
DISH_PNR_031,PL_PNR_031
DISH_PNR_032,PL_PNR_001
DISH_PNR_033,PL_PNR_002
DISH_PNR_034,PL_PNR_003
DISH_PNR_035,PL_PNR_004
DISH_PNR_036,PL_PNR_005
DISH_PNR_037,PL_PNR_006
DISH_PNR_038,PL_PNR_007
DISH_PNR_039,PL_PNR_008
DISH_PNR_040,PL_PNR_009
DISH_PNR_041,PL_PNR_010
DISH_PNR_042,PL_PNR_011
DISH_PNR_043,PL_PNR_012
DISH_PNR_044,PL_PNR_013
DISH_PNR_045,PL_PNR_014
DISH_PNR_046,PL_PNR_015
DISH_PNR_047,PL_PNR_016
DISH_BULK_0001,PL_BULK_1345
DISH_BULK_0002,PL_BULK_0704
DISH_BULK_0003,PL_BULK_1008
DISH_BULK_0004,PL_BULK_0584
DISH_BULK_0005,PL_BULK_0318
DISH_BULK_0006,PL_BULK_1316
DISH_BULK_0007,PL_BULK_1113
DISH_BULK_0008,PL_BULK_0340
DISH_BULK_0009,PL_BULK_0571
DISH_BULK_0010,PL_BULK_0169
DISH_BULK_0011,PL_BULK_0934
DISH_BULK_0012,PL_BULK_0232
DISH_BULK_0013,PL_BULK_0499
DISH_BULK_0014,PL_BULK_1455
DISH_BULK_0015,PL_BULK_1114
DISH_BULK_0016,PL_BULK_0344
DISH_BULK_0017,PL_BULK_1362
DISH_BULK_0018,PL_BULK_0657
DISH_BULK_0019,PL_BULK_1310
DISH_BULK_0020,PL_BULK_0152
DISH_BULK_0021,PL_BULK_0425
DISH_BULK_0022,PL_BULK_0697
DISH_BULK_0023,PL_BULK_0427
DISH_BULK_0024,PL_BULK_0598
DISH_BULK_0025,PL_BULK_0831
DISH_BULK_0026,PL_BULK_0648
DISH_BULK_0027,PL_BULK_0731
DISH_BULK_0028,PL_BULK_0503
DISH_BULK_0029,PL_BULK_1169
DISH_BULK_0030,PL_BULK_0572
DISH_BULK_0031,PL_BULK_0919
DISH_BULK_0032,PL_BULK_0211
DISH_BULK_0033,PL_BULK_0933
DISH_BULK_0034,PL_BULK_0079
DISH_BULK_0035,PL_BULK_1269
DISH_BULK_0036,PL_BULK_1165
DISH_BULK_0037,PL_BULK_1158
DISH_BULK_0038,PL_BULK_1241
DISH_BULK_0039,PL_BULK_0115
DISH_BULK_0040,PL_BULK_0937
DISH_BULK_0041,PL_BULK_0368
DISH_BULK_0042,PL_BULK_0994
DISH_BULK_0043,PL_BULK_0215
DISH_BULK_0044,PL_BULK_1364
DISH_BULK_0045,PL_BULK_0751
DISH_BULK_0046,PL_BULK_1055
DISH_BULK_0047,PL_BULK_0581
DISH_BULK_0048,PL_BULK_0816
DISH_BULK_0049,PL_BULK_0080
DISH_BULK_0050,PL_BULK_0278
DISH_BULK_0051,PL_BULK_0251
DISH_BULK_0052,PL_BULK_0380
DISH_BULK_0053,PL_BULK_0671
DISH_BULK_0054,PL_BULK_0808
DISH_BULK_0055,PL_BULK_1136
DISH_BULK_0056,PL_BULK_0907
DISH_BULK_0057,PL_BULK_0263
DISH_BULK_0058,PL_BULK_0617
