id,name,city,lat,lng
K001,Kitchen Hub 1,Delhi,28.619477,77.19
K002,Kitchen Hub 2,Gurugram,28.450501,77.015528
K003,Kitchen Hub 3,Noida,28.544959,77.398068
K004,Kitchen Hub 4,Ghaziabad,28.684887,77.437278
K005,Kitchen Hub 5,Faridabad,28.405777,77.298992
K006,Kitchen Hub 6,Delhi,28.602646,77.209214
K007,Kitchen Hub 7,Gurugram,28.440561,77.014554
K008,Kitchen Hub 8,Noida,28.541495,77.392798
K009,Kitchen Hub 9,Ghaziabad,28.658018,77.457371
K010,Kitchen Hub 10,Faridabad,28.421277,77.29806
K011,Kitchen Hub 11,Delhi,28.626133,77.216926
K012,Kitchen Hub 12,Gurugram,28.45311,77.012819
K013,Kitchen Hub 13,Noida,28.553789,77.384464
K014,Kitchen Hub 14,Ghaziabad,28.65291,77.437669
K015,Kitchen Hub 15,Faridabad,28.4228,77.321949
K016,Kitchen Hub 16,Delhi,28.626185,77.218189
K017,Kitchen Hub 17,Gurugram,28.460949,77.045525
K018,Kitchen Hub 18,Noida,28.530641,77.393082
K019,Kitchen Hub 19,Ghaziabad,28.682376,77.458541
K020,Kitchen Hub 20,Faridabad,28.423368,77.320894
K021,Kitchen Hub 21,Delhi,28.622083,77.190833
K022,Kitchen Hub 22,Gurugram,28.448616,77.018176
K023,Kitchen Hub 23,Noida,28.518692,77.380312
K024,Kitchen Hub 24,Ghaziabad,28.65324,77.444919
K025,Kitchen Hub 25,Faridabad,28.414327,77.312393
