"~start_node_id","~start_node_labels","~start_node_property_severity","~start_node_property_createdAt","~start_node_property_id","~start_node_property_text","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_id","~end_node_property_placedAt","~start_node_property_placedAt","~end_node_property_name","~start_node_property_celsius","~start_node_property_ts","~end_node_property_code","~end_node_property_ingredient","~end_node_property_expiry","~end_node_property_qtyKg","~end_node_property_receivedAt","~end_node_property_status","~start_node_property_code","~start_node_property_ingredient","~start_node_property_expiry","~start_node_property_qtyKg","~start_node_property_receivedAt","~start_node_property_status","~end_node_property_city","~end_node_property_category","~end_node_property_lng","~end_node_property_lat"
"4:25cb8636-9963-485a-8156-32f58e0d20d3:0","Complaint","CRITICAL","2026-09-19T03:45:00Z","COMP-001","Severe food poisoning and cramps after eating Paneer Tikka (Order ORD-4081)","AGAINST_ORDER","4:25cb8636-9963-485a-8156-32f58e0d20d3:7475","Order","ORD_PNR_00001","2026-09-18T06:30:00Z",,,,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7475","Order",,,"ORD_PNR_00001",,"PLACED_BY","4:25cb8636-9963-485a-8156-32f58e0d20d3:50","Customer","CUST_00001",,"2026-09-18T06:30:00Z","Customer 1",,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7475","Order",,,"ORD_PNR_00001",,"CONTAINS_DISH","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","Dish","DISH_PNR_001",,"2026-09-18T06:30:00Z",,,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7522","Order",,,"ORD_PNR_00048",,"CONTAINS_DISH","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","Dish","DISH_PNR_001",,"2026-09-18T08:04:00Z",,,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7522","Order",,,"ORD_PNR_00048",,"PLACED_BY","4:25cb8636-9963-485a-8156-32f58e0d20d3:97","Customer","CUST_00048",,"2026-09-18T08:04:00Z","Customer 48",,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:10928","Order",,,"ORD_BULK_03454",,"PLACED_BY","4:25cb8636-9963-485a-8156-32f58e0d20d3:97","Customer","CUST_00048",,"2026-09-11T11:16:00Z","Customer 48",,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:12832","Order",,,"ORD_BULK_05358",,"PLACED_BY","4:25cb8636-9963-485a-8156-32f58e0d20d3:97","Customer","CUST_00048",,"2026-09-16T14:43:00Z","Customer 48",,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:15143","Order",,,"ORD_BULK_07669",,"PLACED_BY","4:25cb8636-9963-485a-8156-32f58e0d20d3:97","Customer","CUST_00048",,"2026-09-11T20:15:00Z","Customer 48",,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7569","Order",,,"ORD_PNR_00095",,"CONTAINS_DISH","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","Dish","DISH_PNR_001",,"2026-09-18T09:38:00Z",,,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7569","Order",,,"ORD_PNR_00095",,"PLACED_BY","4:25cb8636-9963-485a-8156-32f58e0d20d3:144","Customer","CUST_00095",,"2026-09-18T09:38:00Z","Customer 95",,,,,,,,,,,,,,,,,,
