"~id","~labels","severity","createdAt","id","text","placedAt","name","city","category","celsius","ts","code","ingredient","expiry","qtyKg","receivedAt","status","lng","lat"
"4:25cb8636-9963-485a-8156-32f58e0d20d3:0","Complaint","CRITICAL","2026-09-19T03:45:00Z","COMP-001","Severe food poisoning and cramps after eating Paneer Tikka (Order ORD-4081)",,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:10928","Order",,,"ORD_BULK_03454",,"2026-09-11T11:16:00Z",,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:12832","Order",,,"ORD_BULK_05358",,"2026-09-16T14:43:00Z",,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:144","Customer",,,"CUST_00095",,,"Customer 95",,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:15143","Order",,,"ORD_BULK_07669",,"2026-09-11T20:15:00Z",,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:17475","PrepLot",,,"PL_PNR_001",,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:18975","Supplier",,,"S001",,,"Supplier A (Sharma Dairy)","Delhi","Dairy",,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:18987","TempReading",,,,,,,,,3.6,"2026-09-18T00:30:00Z",,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:191","Customer",,,"CUST_00142",,,"Customer 142",,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","Dish",,,"DISH_PNR_001",,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:50","Customer",,,"CUST_00001",,,"Customer 1",,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:5371","Dish",,,"DISH_BULK_1275",,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:5554","Dish",,,"DISH_BULK_1458",,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7050","IngredientBatch",,,"B_PNR2047",,,,,,,,"PNR-2047","Paneer","2026-09-24T18:30:00Z",420,"2026-09-18T00:30:00Z","CRITICAL",,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7450","Kitchen",,,"K001",,,"Kitchen Hub 1","Delhi",,,,,,,,,,77.19,28.619477
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7475","Order",,,"ORD_PNR_00001",,"2026-09-18T06:30:00Z",,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7522","Order",,,"ORD_PNR_00048",,"2026-09-18T08:04:00Z",,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7569","Order",,,"ORD_PNR_00095",,"2026-09-18T09:38:00Z",,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7616","Order",,,"ORD_PNR_00142",,"2026-09-18T11:12:00Z",,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7663","Order",,,"ORD_PNR_00189",,"2026-09-18T12:46:00Z",,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7710","Order",,,"ORD_PNR_00236",,"2026-09-18T14:20:00Z",,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:97","Customer",,,"CUST_00048",,,"Customer 48",,,,,,,,,,,,
