"~id","~start_node_id","~end_node_id","~relationship_type"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152921504606846976","4:25cb8636-9963-485a-8156-32f58e0d20d3:0","4:25cb8636-9963-485a-8156-32f58e0d20d3:7475","AGAINST_ORDER"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152922604118482227","4:25cb8636-9963-485a-8156-32f58e0d20d3:7475","4:25cb8636-9963-485a-8156-32f58e0d20d3:50","PLACED_BY"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152923703630110003","4:25cb8636-9963-485a-8156-32f58e0d20d3:7475","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","CONTAINS_DISH"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152923703630110050","4:25cb8636-9963-485a-8156-32f58e0d20d3:7522","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","CONTAINS_DISH"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152922604118482274","4:25cb8636-9963-485a-8156-32f58e0d20d3:7522","4:25cb8636-9963-485a-8156-32f58e0d20d3:97","PLACED_BY"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152922604118485680","4:25cb8636-9963-485a-8156-32f58e0d20d3:10928","4:25cb8636-9963-485a-8156-32f58e0d20d3:97","PLACED_BY"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152922604118487584","4:25cb8636-9963-485a-8156-32f58e0d20d3:12832","4:25cb8636-9963-485a-8156-32f58e0d20d3:97","PLACED_BY"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152922604118489895","4:25cb8636-9963-485a-8156-32f58e0d20d3:15143","4:25cb8636-9963-485a-8156-32f58e0d20d3:97","PLACED_BY"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152923703630110097","4:25cb8636-9963-485a-8156-32f58e0d20d3:7569","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","CONTAINS_DISH"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152922604118482321","4:25cb8636-9963-485a-8156-32f58e0d20d3:7569","4:25cb8636-9963-485a-8156-32f58e0d20d3:144","PLACED_BY"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152923703630110144","4:25cb8636-9963-485a-8156-32f58e0d20d3:7616","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","CONTAINS_DISH"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152922604118482368","4:25cb8636-9963-485a-8156-32f58e0d20d3:7616","4:25cb8636-9963-485a-8156-32f58e0d20d3:191","PLACED_BY"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152929201188260395","4:25cb8636-9963-485a-8156-32f58e0d20d3:18987","4:25cb8636-9963-485a-8156-32f58e0d20d3:7050","RECORDED_FOR"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152925902653375555","4:25cb8636-9963-485a-8156-32f58e0d20d3:17475","4:25cb8636-9963-485a-8156-32f58e0d20d3:7050","USES_BATCH"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:6917532326175982659","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","4:25cb8636-9963-485a-8156-32f58e0d20d3:17475","FROM_PREP_LOT"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152923703630110191","4:25cb8636-9963-485a-8156-32f58e0d20d3:7663","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","CONTAINS_DISH"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152923703630110238","4:25cb8636-9963-485a-8156-32f58e0d20d3:7710","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","CONTAINS_DISH"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:6917535624710867487","4:25cb8636-9963-485a-8156-32f58e0d20d3:7050","4:25cb8636-9963-485a-8156-32f58e0d20d3:18975","SUPPLIED_BY"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152923703630113456","4:25cb8636-9963-485a-8156-32f58e0d20d3:10928","4:25cb8636-9963-485a-8156-32f58e0d20d3:5554","CONTAINS_DISH"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152923703630115360","4:25cb8636-9963-485a-8156-32f58e0d20d3:12832","4:25cb8636-9963-485a-8156-32f58e0d20d3:5371","CONTAINS_DISH"
"5:25cb8636-9963-485a-8156-32f58e0d20d3:1152927002165003331","4:25cb8636-9963-485a-8156-32f58e0d20d3:17475","4:25cb8636-9963-485a-8156-32f58e0d20d3:7450","PREPARED_AT"
