id,code,ingredient,qty_kg,received_at,expiry,status,supplier_id
B_PNR2047,PNR-2047,Paneer,420.0,2026-09-18T06:00:00,2026-09-25T00:00:00,CRITICAL,S001
B_VEG9182,VEG-9182,Spinach,180.0,2026-09-17T08:00:00,2026-09-22T00:00:00,MONITORING,S002
B_MILK774,MILK-774,Full Cream Milk,600.0,2026-09-15T07:00:00,2026-09-20T00:00:00,RESOLVED,S001
B_BATCH0000,BATCH-0000,Lentils,144.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0001,BATCH-0001,Ghee,82.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0002,BATCH-0002,Cardamom,160.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0003,BATCH-0003,Ghee,359.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0004,BATCH-0004,Chicken,153.1,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S006
B_BATCH0005,BATCH-0005,Oil,170.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0006,BATCH-0006,Cardamom,191.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0007,BATCH-0007,Ghee,256.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0008,BATCH-0008,Cardamom,302.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0009,BATCH-0009,Oil,454.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0010,BATCH-0010,Onions,279.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0011,BATCH-0011,Tomatoes,118.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0012,BATCH-0012,Oil,318.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0013,BATCH-0013,Garam Masala,288.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0014,BATCH-0014,Ghee,374.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0015,BATCH-0015,Wheat Flour,395.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0016,BATCH-0016,Oil,121.2,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S005
B_BATCH0017,BATCH-0017,Cardamom,168.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0018,BATCH-0018,Turmeric,460.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0019,BATCH-0019,Ghee,278.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0020,BATCH-0020,Onions,292.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0021,BATCH-0021,Chicken,319.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0022,BATCH-0022,Lentils,445.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0023,BATCH-0023,Rice,76.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0024,BATCH-0024,Tomatoes,379.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0025,BATCH-0025,Onions,107.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0026,BATCH-0026,Onions,169.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0027,BATCH-0027,Rice,468.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0028,BATCH-0028,Rice,370.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0029,BATCH-0029,Ghee,218.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0030,BATCH-0030,Tomatoes,161.6,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S008
B_BATCH0031,BATCH-0031,Coriander,299.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0032,BATCH-0032,Tomatoes,368.5,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S001
B_BATCH0033,BATCH-0033,Chicken,436.8,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S002
B_BATCH0034,BATCH-0034,Wheat Flour,351.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0035,BATCH-0035,Cardamom,471.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0036,BATCH-0036,Rice,403.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0037,BATCH-0037,Tomatoes,93.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0038,BATCH-0038,Oil,260.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0039,BATCH-0039,Ghee,492.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
