id,batch_id,kitchen_id
PL_PNR_001,B_PNR2047,K001
PL_PNR_002,B_PNR2047,K002
PL_PNR_003,B_PNR2047,K003
PL_PNR_004,B_PNR2047,K004
PL_PNR_005,B_PNR2047,K005
PL_PNR_006,B_PNR2047,K006
PL_PNR_007,B_PNR2047,K007
PL_PNR_008,B_PNR2047,K008
PL_PNR_009,B_PNR2047,K009
PL_PNR_010,B_PNR2047,K010
PL_PNR_011,B_PNR2047,K011
PL_PNR_012,B_PNR2047,K012
PL_PNR_013,B_PNR2047,K001
PL_PNR_014,B_PNR2047,K002
PL_PNR_015,B_PNR2047,K003
PL_PNR_016,B_PNR2047,K004
PL_PNR_017,B_PNR2047,K005
PL_PNR_018,B_PNR2047,K006
PL_PNR_019,B_PNR2047,K007
PL_PNR_020,B_PNR2047,K008
PL_PNR_021,B_PNR2047,K009
PL_PNR_022,B_PNR2047,K010
PL_PNR_023,B_PNR2047,K011
PL_PNR_024,B_PNR2047,K012
PL_PNR_025,B_PNR2047,K001
PL_PNR_026,B_PNR2047,K002
PL_PNR_027,B_PNR2047,K003
PL_PNR_028,B_PNR2047,K004
PL_PNR_029,B_PNR2047,K005
PL_PNR_030,B_PNR2047,K006
PL_PNR_031,B_PNR2047,K007
PL_BULK_0001,B_BATCH0354,K005
PL_BULK_0002,B_BATCH0386,K023
PL_BULK_0003,B_BATCH0238,K015
PL_BULK_0004,B_BATCH0313,K001
PL_BULK_0005,B_BATCH0038,K001
PL_BULK_0006,B_BATCH0129,K007
PL_BULK_0007,B_BATCH0074,K018
PL_BULK_0008,B_BATCH0370,K020
PL_BULK_0009,B_BATCH0268,K014
PL_BULK_0010,B_BATCH0054,K025
PL_BULK_0011,B_BATCH0145,K008
PL_BULK_0012,B_BATCH0152,K004
PL_BULK_0013,B_BATCH0022,K008
PL_BULK_0014,B_BATCH0212,K021
PL_BULK_0015,B_BATCH0316,K015
PL_BULK_0016,B_BATCH0030,K004
PL_BULK_0017,B_BATCH0253,K020
PL_BULK_0018,B_BATCH0272,K001
PL_BULK_0019,B_BATCH0321,K017
PL_BULK_0020,B_BATCH0292,K008
PL_BULK_0021,B_BATCH0365,K005
PL_BULK_0022,B_BATCH0147,K014
PL_BULK_0023,B_VEG9182,K020
PL_BULK_0024,B_BATCH0178,K008
PL_BULK_0025,B_BATCH0290,K014
PL_BULK_0026,B_BATCH0093,K022
PL_BULK_0027,B_BATCH0340,K003
PL_BULK_0028,B_BATCH0266,K012
PL_BULK_0029,B_BATCH0032,K017
PL_BULK_0030,B_BATCH0276,K017
PL_BULK_0031,B_BATCH0257,K018
PL_BULK_0032,B_BATCH0008,K013
PL_BULK_0033,B_BATCH0238,K002
PL_BULK_0034,B_BATCH0323,K013
