batch_id,ts,celsius
B_PNR2047,2026-09-18T06:00:00,4.4
B_PNR2047,2026-09-18T07:00:00,6.0
B_PNR2047,2026-09-18T08:00:00,4.4
B_PNR2047,2026-09-18T09:00:00,14.2
B_PNR2047,2026-09-18T10:00:00,4.0
B_PNR2047,2026-09-18T11:00:00,4.9
B_PNR2047,2026-09-18T12:00:00,6.6
B_PNR2047,2026-09-18T13:00:00,4.2
B_VEG9182,2026-09-18T06:00:00,5.0
B_VEG9182,2026-09-18T07:00:00,4.7
B_VEG9182,2026-09-18T08:00:00,3.6
B_VEG9182,2026-09-18T09:00:00,3.7
B_VEG9182,2026-09-18T10:00:00,5.2
B_VEG9182,2026-09-18T11:00:00,4.3
B_VEG9182,2026-09-18T12:00:00,6.8
B_VEG9182,2026-09-18T13:00:00,4.7
B_MILK774,2026-09-18T06:00:00,3.6
B_MILK774,2026-09-18T07:00:00,6.6
B_MILK774,2026-09-18T08:00:00,6.3
B_MILK774,2026-09-18T09:00:00,5.6
B_MILK774,2026-09-18T10:00:00,6.1
B_MILK774,2026-09-18T11:00:00,4.0
B_MILK774,2026-09-18T12:00:00,4.4
B_MILK774,2026-09-18T13:00:00,6.2
